area,Charactertpe,dist,ene_speed,hero_speed,ene_mode,ene_success
terrain,enemy,224.8597,3,2,seek,FALSE
terrain,enemy,223.18335,3,2,seek,FALSE
terrain,enemy,221.51697,3,2,seek,FALSE
terrain,enemy,219.86049,3,2,seek,FALSE
terrain,enemy,218.21387,3,2,seek,FALSE
terrain,enemy,216.57704,3,2,seek,FALSE
terrain,enemy,214.94998,3,2,seek,FALSE
terrain,enemy,213.33263,3,2,seek,FALSE
terrain,enemy,211.72496,3,2,seek,FALSE
terrain,enemy,210.12688,3,2,seek,FALSE
terrain,enemy,208.53836,3,2,seek,FALSE
terrain,enemy,206.95935,3,2,seek,FALSE
terrain,enemy,205.38976,3,2,seek,FALSE
terrain,enemy,203.82956,3,2,seek,FALSE
terrain,enemy,202.27869,3,2,seek,FALSE
terrain,enemy,200.73705,3,2,seek,FALSE
terrain,enemy,199.20464,3,2,seek,FALSE
terrain,enemy,197.68135,3,2,seek,FALSE
terrain,enemy,196.16711,3,2,seek,FALSE
terrain,enemy,194.66191,3,2,seek,FALSE
terrain,enemy,193.16562,3,2,seek,FALSE
terrain,enemy,191.67819,3,2,seek,FALSE
terrain,enemy,190.19958,3,2,seek,FALSE
terrain,enemy,188.72969,3,2,seek,FALSE
terrain,enemy,187.26845,3,2,seek,FALSE
terrain,enemy,185.81577,3,2,seek,FALSE
terrain,enemy,184.37161,3,2,seek,FALSE
terrain,enemy,182.93588,3,2,seek,FALSE
terrain,enemy,181.50851,3,2,seek,FALSE
terrain,enemy,180.0894,3,2,seek,FALSE
terrain,enemy,178.67848,3,2,seek,FALSE
terrain,enemy,177.2757,3,2,seek,FALSE
terrain,enemy,175.88094,3,2,seek,FALSE
terrain,enemy,174.49413,3,2,seek,FALSE
terrain,enemy,173.11519,3,2,seek,FALSE
terrain,enemy,171.74405,3,2,seek,FALSE
terrain,enemy,170.3806,3,2,seek,FALSE
terrain,enemy,169.02478,3,2,seek,FALSE
terrain,enemy,167.67648,3,2,seek,FALSE
terrain,enemy,166.33563,3,2,seek,FALSE
terrain,enemy,165.00215,3,2,seek,FALSE
terrain,enemy,163.67592,3,2,seek,FALSE
terrain,enemy,162.3569,3,2,seek,FALSE
terrain,enemy,161.04498,3,2,seek,FALSE
terrain,enemy,159.74007,3,2,seek,FALSE
terrain,enemy,158.44206,3,2,seek,FALSE
terrain,enemy,157.15088,3,2,seek,FALSE
terrain,enemy,155.86642,3,2,seek,FALSE
terrain,enemy,154.58862,3,2,seek,FALSE
terrain,enemy,153.31741,3,2,seek,FALSE
terrain,enemy,152.05264,3,2,seek,FALSE
terrain,enemy,150.79424,3,2,seek,FALSE
terrain,enemy,149.5421,3,2,seek,FALSE
terrain,enemy,148.29616,3,2,seek,FALSE
terrain,enemy,147.0563,3,2,seek,FALSE
terrain,enemy,145.8225,3,2,seek,FALSE
terrain,enemy,144.59456,3,2,seek,FALSE
terrain,enemy,143.37244,3,2,seek,FALSE
terrain,enemy,142.15604,3,2,seek,FALSE
terrain,enemy,140.94527,3,2,seek,FALSE
terrain,enemy,139.74005,3,2,seek,FALSE
terrain,enemy,138.54028,3,2,seek,FALSE
terrain,enemy,137.34586,3,2,seek,FALSE
terrain,enemy,136.15671,3,2,seek,FALSE
terrain,enemy,134.97275,3,2,seek,FALSE
terrain,enemy,133.79382,3,2,seek,FALSE
terrain,enemy,132.61992,3,2,seek,FALSE
terrain,enemy,131.4509,3,2,seek,FALSE
terrain,enemy,130.28668,3,2,seek,FALSE
terrain,enemy,129.1272,3,2,seek,FALSE
terrain,enemy,127.97233,3,2,seek,FALSE
terrain,enemy,126.822,3,2,seek,FALSE
terrain,enemy,125.67612,3,2,seek,FALSE
terrain,enemy,124.5346,3,2,seek,FALSE
terrain,enemy,123.397354,3,2,seek,FALSE
terrain,enemy,122.26429,3,2,seek,FALSE
terrain,enemy,121.135315,3,2,seek,FALSE
terrain,enemy,120.01036,3,2,seek,FALSE
terrain,enemy,118.88933,3,2,seek,FALSE
terrain,enemy,117.77214,3,2,seek,FALSE
terrain,enemy,116.65872,3,2,seek,FALSE
terrain,enemy,115.54896,3,2,seek,FALSE
terrain,enemy,114.44281,3,2,seek,FALSE
terrain,enemy,113.340164,3,2,seek,FALSE
terrain,enemy,112.24093,3,2,seek,FALSE
terrain,enemy,111.14506,3,2,seek,FALSE
terrain,enemy,110.052475,3,2,seek,FALSE
terrain,enemy,108.963066,3,2,seek,FALSE
terrain,enemy,107.87678,3,2,seek,FALSE
terrain,enemy,106.79351,3,2,seek,FALSE
terrain,enemy,105.71323,3,2,seek,FALSE
terrain,enemy,104.63581,3,2,seek,FALSE
terrain,enemy,103.561195,3,2,seek,FALSE
terrain,enemy,102.489334,3,2,seek,FALSE
terrain,enemy,101.42013,3,2,seek,FALSE
terrain,enemy,100.35354,3,2,seek,FALSE
terrain,enemy,99.28946,3,2,seek,FALSE
terrain,enemy,98.227844,3,2,seek,FALSE
terrain,enemy,97.168625,3,2,seek,FALSE
terrain,enemy,96.11171,3,2,seek,FALSE
terrain,enemy,95.05707,3,2,seek,FALSE
terrain,enemy,94.00462,3,2,seek,FALSE
terrain,enemy,92.954285,3,2,seek,FALSE
terrain,enemy,91.90601,3,2,seek,FALSE
terrain,enemy,90.85975,3,2,seek,FALSE
terrain,enemy,89.81542,3,2,seek,FALSE
terrain,enemy,88.772995,3,2,seek,FALSE
terrain,enemy,87.73239,3,2,seek,FALSE
